TARIFF	DESCRIPTION EN	DESCRIPTION TH	%	S	REMARK
SECTION 1	LIVE ANIMALS; ANIMAL PRODUCTS	สัตว์มีชีวิต ผลิตภัณฑ์จากสัตว์	
6105	Men's or boys' shirts, knitted or crocheted.	เชิ้ตของบุรุษหรือเด็กชาย ถักแบบนิตหรือแบบโครเซต์	
6106	Women's or girls' blouses shirts and shirt blouses, knitted or crocheted.	เสื้อเบลาส์ เชิ้ต และเชิ้ตเบลาส์ของสตรีหรือเด็กหญิง ถักแบบนิตหรือแบบโครเซต์	
6107	Men's or boys' underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles, knitted or chrocheted.
- Underpants and briefs :	การเกงชั้นใน กางเกงในชนิดบรีฟ ไนท์เชิ้ต พิจามา เสื้อคลุมอาบน้ำ เสื้อคลุมแต่งตัวและของที่คล้ายกัน ของบุรุษหรือเด็กชาย ถักแบบนิตหรือแบบโครเซต์
- กางเกงชั้นใน และกางเองชั้นในชนิดบรีฟ	
6108	Women's or girls' slips, petticoats, panties, nightdresses, pyjamas, negliges, bathrobes, dressing gowns and similar articles, knitted or crocheted.
- Slips and petticoats :	ชุดชั้นในชนิดสลิป กระโปรงชั้นใน กางเกงชั้นในชนิดบรีฟ การเกงชั้นในชุดนอนยาว พิจามา เสื้อคลุมชนิดเนกลีเซย์ เสื้อคลุมอาบน้ำ เสื้อคลุมแต่งตัวและของที่ คล้ายกัน ของสตรีหรือเด็กหญิง ถักแบบนิตหรือแบบโครเซต์
- ชุดชั้นในชนิดสลิป และกระโปรงชั้นใน	
6109	T-shirts, singlets and other vests, knitted or crocheted.	ทีเชิ้ต เสื้อชั้นในชนิดชิงเกลต และเสื้อชั้นในอย่างอื่น ถักแบบนิตหรือแบบโครเซต์	
6110	Jerseys, pullovers, cardigans, waistcoats and similar articles, knitted or crocheted.
- Of wool or fine ainmal hair :	เจอร์ซี่ พูลโอเวอร์ เสื้อชนิดคาร์ดิแกน เสื้อกั๊กและเสื้อที่คล้ายกัน ถักแบบนิตหรือแบบโครเซต์
- ทำด้วยขนแกะหรือขนละเอียดของสัตว์	
6111	Babies' garments and clothing accessories, knitted or crocheted.	เสื้อผ้าและของที่ใช้ประกอบกับเครื่องแต่งกายของเด็กเล็ก ถักแบบนิต หรือแบบโครเซต์	
6112	Track suits, ski suits and swimwear, knitted or crocheted.
- Track suits :	ชุดวอร์ม ชุดสกี และชุดว่ายน้ำ ถักแบบนิตหรือแบบโครเซต์
- ชุดวอร์ม	
6113	Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.	เสื้อผ้าที่ทำด้วยผ้าถักแบบนิตหรือแบบโครเซต์ ตามประเภทที่ 59.03 59.06 หรือ 59.07	
6114	Other garments, knitted or crocheted.	เสื้อผ้าอื่น ๆ ถักแบบนิตหรือแบบโครเซต์	
6115	Panty hose, tights, stockings, socks and other hosiery, including stockings for varicose veins and footwear withouot applied soles, knitted or crocheted.
- Panty hose and tights :	ถุงน่องกางเกง เสื้อกางเกงยึดแนบเนื้อ ถุงน่อง ถุงน่องชนิดต่าง ๆ รวมถึงถุงน่องนสำหรับช่วยรักษาเส้นเลือดขอด และรองเท้าที่ไม่มีพื้นเสริม ถักแบบนิตหรือแบบโครเซต์
- ถุงน่องกางเกงและเสื้อกางเกงยืดแนบเนื้อ	
6116	Gloves, mittens and mitts, knitted or crocheted.	ถุงมือทุกชนิด ที่ถักแบบนิตหรือแบบโครเซต์	
6117	Other made up clothing accessories, knitted or crocheted; knitted or crocheted parts of garments or of clothing accessories.	ของที่ใช้ประกอบกับเครื่องแต่งกายที่จัดทำแล้วอื่น ๆ ถักแบบนิตหรือแบบโครเซต์ รวมทั้งส่วนประกอบของเสื้อผ้าหรือส่วนประกอบของของที่ใช้ประกอบกับเครื่องแต่งกายถักแบบนิตหรือแบบโครเซต์	
 CHAPTER 62	Articles of apparel and clothing accessories, not knitted or crocheted.	เครื่องแต่งกายและของที่ใช้ประกอบกับเครื่องแต่งกายที่ไม่ได้ถักแบบนิตหรือแบบโครเชต์	
6201	Men's or boys' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-jackets and similar articles, other than thise of heading 62.03.
- Obercoats, raincoats, car-coats, capes, cloaks and similar articles :	เสื้อโอเวอร์โค้ด คาร์โค้ต เคป โคลัก อาโนรัก ( รวมถึงแจ็กเก็ตที่ใส่เล่นสกี ) เสื้อกันลม แจ็กเก็ตกันลมและเสื้อคลุมที่คล้ายกัน ของบุรุษหรือเด็กชาย นอกจากของตามประเภทที่ 62.03
- เสื้อโอเวอร์โค้ต เสื้อกันฝน คาร์โค้ต เคป โคล้กและเสื้อคลุมที่คล้ายกัน	
6202	Women's or girls' overcoats, car-coats, capes, cloaks, anoraks (including ski-jackets), wind-cheaters, wind-jackets and similar articles, other than those of heading 62.04.
- Obercoats, raincoats, car-coats, capes, cloaks and similar articles :	เสื้อโอเวอร์โค้ด คาร์โค้ต เคป โคลัก อาโนรัก ( รวมถึงแจ็กเก็ตที่ใส่เล่นสกี ) เสื้อกันลม แจ็กเก็ตกันลมและเสื้อคลุมที่คล้ายกัน ของสตรีหรือเด็กหญิง นอกจากของตามประเภทที่ 62.04
- เสื้อโอเวอร์โค้ต เสื้อกันฝน คาร์โค้ต เคป โคล้กและเสื้อคลุมที่คล้ายกัน	
6203	Men's or boys' suits, ensembles, jackets, blazers, trousers, bib and brace overalls, breeches and shorts (other than swimwear).	สูท เครื่องแต่งตัวเป็นชุด แจ็กเก็ต เสื้อเบลเซอร์ กางเกงขายาว ชุดหมีที่มีเอี๊ยมและสายโยง กางเกงขาสามส่วน และกางเกงขาสั้น ( นอกจากชุดว่ายน้ำ ) ของบุรุษของเด็กชาย	
6204	Women's or girls suits, ensembles, jackets, blazers, dresses, skirts, tdided skirts, trosers, bib and brace overalls, breeches and shorts (other than swimwear).
- Suits :	สูท เครื่องแต่งตัวเป็นชุด แจ็กเก็ต เสื้อเบลเซอร์ เสื้อกระโปรง ชุดกระโปรง กางเกงขายาว ชุดหมีที่มีเอี๊ยมและสายโยง กางเกงขาสามส่วน และกางเกงขาสั้น ( นอกจากชุดว่ายน้ำ ) ของสตรีของเด็กหญิง
- สูท	
6205	Men's or boy's shirts.	เชิ้ตของบุรุษหรือเด็กชาย	
6206	Women's or girls blouses, shirts and shirt-blouses.	เสื้อเบลาส์ เชิ้ต และเชิ้ตเบลาส์ ของสตรี หรือเด็กหญิง	
6207	Men's or boy's singlets and other vests, underpants, briefs, nightshirts, pyjamas, dressing gowns and similar articles.
- Underpants and briefs :	เสื้อชั้นในซิงเกลตและชนิดอื่น ๆ กางเกงชั้นใน กางเกงชั้นในชนิดบรีฟ ไนท์เชิ้ต พิจามา เสื้อคลุมอาบน้ำ เสื้อคลุมแต่งตัวและของที่คล้ายกัน ของบุรุษหรือเด็กชาย
- กางเกงชั้นในและกางเกงชั้นในชนิดบรีฟ	
6208	Women's or girl's singlets and other vests, slips, petticoats, briefs, panties, nightdresses, pyjamas, negliges, bathrobes, dressing gowns and similar articles.
- Slips and petticoats :	เสื้อชั้นในซิงเกลตและชนิดอื่น ๆ ชุดชั้นในสลิป กระโปรงชั้นใน กางเกงชั้นใน กางเกงชั้นในชนิดบรีฟ กางเกงชั้นใน ชุดนอนยาว พิจามา เสื้อคลุมอาบน้ำ เสื้อคลุมชนิดเนกลีเซย์ เสื้อคุมอาบน้ำ เสื้อคลุมแต่งตัวและของที่คล้ายกัน ของสตรีหรือเด็กหญิง
- ชุดชั้นในชนิดสลิป กระโปรงชั้นใน	
6209	Babies' garments and clothing accessories.	เสื้อผ้าและของที่ใช้ประกอบกับเครื่องแต่งกายของเด็กเล็ก	
6210	Garments, made up of fabrics of heading 56.02, 56.03, 59.03, 59.06 or 56.07.	เสื้อผ้าที่ทำตามประเภทที่ 56.02 56.03 56.06 หรือ 56.07	
6211	Track suits, ski suits and swimwear; other garments.	ชุดวอร์ม ชุดสกีและชุดว่ายน้ำ รวมทั้งเสื้อผ้าอื่น ๆ	
6212	Brassieres, girdles, corsets, braces, suspenders, garters and similar articles and parts thereof, whether or not knitted or crocheted.	เครื่องยกทรง เครื่องรัดเอวและตะโพก เครื่องรัดทรง สายโยงกางเกง สายโยงถุงน่อง สายรัดถุงน่องและของที่คล้ายกัน รวมทั้งส่วนประกอบของของดังกล่าว จะถักแบบนิตหรือแบบโครเซต์หรือไม่ก็ตาม	
6213	Handkerchiefs.	ผ้าเช็ดหน้า	
6214	Shawls, wcarves, mufflers, mantillas, veils and the like.	ผ้าคลุมไหล่ ผ้าพันถอชนิดสี่เหลี่ยม ผ้าพันคอ ผ้าโปร่งคลุมศีรษะ ผ้าคลุมหน้าและของที่คล้ายกัน	
6215	Ties, bow ties and cravats.	ผ้าผูกคอ ผ้าผูกคอหูกระต่ายและผ้าผูกคอแบบกราวัต	
6216	Gloves, mittens and mitts.	ถุงมือทุกชนิด	
6217	Other made up clothing accessories; parts of garments or of clothing accessories, other than those of heading 62.12.	ของที่ใช้ประกอบกับเครื่องแต่งกายที่จัดทำแล้วอื่น ๆ รวมทั้งส่วนประกอบของเสื้อผ้าหรือส่วนประกอบของของที่ใช้ประกอบกับเครื่องแต่งกาย นอกจากของตามประเภทที่ 62.12	
 CHAPTER 63	Other made up textile articles; sets; worn clothing and worn textile articles; rags.	ของทำด้วยสิ่งทอที่จัดทำแล้วอื่นๆ ของเป็นชุด เสื้อผ้าที่ใช้แล้ว และของที่ใช้แล้วทำด้วยสิ่งทอ ผ้าขี้ริ้ว	
6301	Blankets and travelling rugs.	ผ้าห่มและผ้าคลุมตัวที่ใช้ในเวลาเดินทาง	
6302	Bed linen, table linen, toilet linen and kitchen linen.	ผ้าที่ใช้กับเตียง โต๊ะ ห้องน้ำและห้องครัว	
6303	Curtains (including dropes) and interior blinds; curtain or bed valances.
- Knitted or crocheted :	ม่าน (รวมถึงม่านชนิดจับจีบ) และม่านบังตา รวมทั้ง กะบังม่านหรือกะบังเตียง
- ถักแบบนิตหรือแบบโครเชต์	
6304	Other furnishing articles, excluding those of heading 94.04.
- Bedspreads :	ของอื่น ๆ ที่ใช้ตกแต่ง ไม่รวมถึงของตามประเภทที่ 94.04
- ผ้าคลุมเตียง	
6305	Sacks and bags, of a kind used for the packing of goods.	กระสอบและถุง ชนิดที่ใช่บรรจุของ	
6306	Tarpaulins, awnings and sunblinds; tents; sails for boats, sailboards or landcraft; camping goods.
- Tarpaulins, awnings and sunblinds :	ผ้าใบคลุมของ ผ้าใบบังแดดและม่านกันแดด เต็นท์ ใบเรือสำหรับเรือ ใบเรือสำหรับเซลบอร์ด หรือใบเรือสำหรับเรือบก รวมทั้งเครื่องแคมปิ้ง
- ผ้าใบคลุมองผ้าใบบังแดด และม่านกันแดด	
6307	Other made up articles, including dress patterns.	ของที่จัดทำแล้วอื่น ๆ รวมถึงแบบสำหรับตัดเสื้อผ้า	
6308	Set consisting of woven fabric and yarn, whether or not with accessories, for making up into rugs, tapestries, embroidered table cloths or serviettes, or similar textile articles, put up in packings for retail sale.	ของเป็นชุดที่ประกอบด้วยผ้าทอและด้าย จะมีอุปกรณ์ประกอบ หรือไม่ก็ตามสำหรับจัดทำเป็นพรมผืน เทเพสทรี ผ้าปักที่ทำเป็นผ้าปูโต๊ะ หรือผ้าเช็ดมือ หรือจัดทำเป็นของทำด้วยสิ่งทอที่คล้ายกัน บรรจุภาชนะเพื่อการขายปลีก	
6309	Worn clothing and other worn articles.	เสื้อผ้าที่ใช้แล้วและของอื่น ๆ ที่ใช้แล้ว	
6310	Used or new rags, scrap twine, cordage, rope and cables and worn out articles of twine, cordage, rope or cables, of textile materials.	ผ้าขี้ริ้วหรือเศษผ้าใหม่ เชือกชนิดคอร์เดจ ชนิดโรปและเคเบิล ที่ใช้ไม่ได้ และของที่ใช้จนหมดสภาพแล้วที่ทำด้วยเชือกดังกล่าว บรรดาที่ทำด้วยวัตถุทอ	
SECTION 12	FOOTWEAR, HEADGEAR, UMBRELLAS, SUN UNBRELLAS, WALKING-STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF; PREPARED FESTHERS AND ARTICLES MADE THEREWITH; ARTIFICIAL FLOWERS; ARTCLES OF HUMAN HAIR	รองเท้า เครื่องสวมศีรษะ ร่ม ร่มปักกันแดด ไม้เท้า ไม้เท้าที่เป้นที่นั่ง แส้ (วิป) แส้ขี่มา และส่วนประกอบของของดังกล่าว ขนสัตว์ปีกที่จัดเตรียมแล้ว และของทำด้วยขนดังกล่าว ดอกไม้เทียม รวมทั้งของทำด้วยผมคน	
 CHAPTER 64	Footwear, gaiters and the like; parts of such articles.	รองเท้า สนับแข้งและของที่คล้ายกัน รวมทั้งส่วนประกอบของของดังกล่าว	
6401	Waterproof footwear with outer soles and uppers of rubber or of plastics, the uppers of which are neither fixed to the sole nor assembled by stiching, riveting, nailing, screwing, plugging or similar processes.	รองเท้ากันน้ำที่มีพื้นรองเท้าด้านนอกและส่วนบนของรองเท้า ทำด้วยยางหรือพลาสติก ซึ่งส่วนบนไม่ได้ประกอบเข้ากับ พื้นรองเท้า โดยการเย็บ ย้ำหมุด ตอกตะปู ขันเกลียว สวมเข้าด้วยกันหรือโดยกรรมวิธีที่คล้ายกัน	
6402	Other footwear with outer soles and uppers of rubber or plastics.
- Sports footwear :	รองเท้าอื่น ๆ ที่มีพื้นรองเท้าด้านนอกและส่วนบนของรองเท้าทำด้วยยางหรือพลาสติก
- รองเท้ากีฬา	
6403	Footwear with outer soles of rubber, plastecs, leather or composition leather and uppers of leather.
- Sports footwear :	รองเท้าที่มีพื้นรองเท้าด้านนอกทำด้วยยาง พลาสติก หนังฟอกหรือ หนังอัด และส่วนบนของรองเท่าทำด้วยหนังฟอก
- รองเท้ากีฬา	
6404	Footwear with outer soles of rubber, plastecs, leather or composition leather and uppers of leather and upper of texile materials.
- Footwear with outer soles of rubber or plastics :	รองเท้าที่มีพื้นรองเท้าด้านนอกทำด้วยยาง พลาสติก หนังฟอกหรือหนังอัด และส่วนบนของรองเท้าทำด้วยวัตถุทอ
- รองเท้าที่มีพื้นรองเท้าด้านนอกทำด้วยยางหรือพลาสติก	
6405	Other footwear.	รองเท้าอื่น ๆ	
6406	Parts of footwear (including uppers whether or not attached to soles other than outer soles); removable in-soles, heel cushions and similar articles; gaiters, leggings and similar articles, and parts thereof.	ส่วนประกอบของรองเท้า(รวมถึงส่วนบนของรองเท้าจะติดกับพื้นรองเท้า ( นอกจากนี้พื้นรองเท้าด้านนอก ) ด้วยหรือไม่ก็ตาม) พื้นด้านในที่ถอดออกได้ เบาะรองส้นและของที่คล้ายกัน รวมทั้งสนับแข้งเครื่องหุ้มขาและของที่คล้ายกันประกอบของของดังกล่าว	
 CHAPTER 65	Headgear and parts thereof.	เครื่องสวมศีรษะ และส่วนประกอบของเครื่องสวมศรีษะ	
6501	Hat-forms, hat bodies and hoods of felt, neither blocked to shape nor with made brims; plateaux and manchons (including slit manchons), of felt.	ทรงหมวก ตัวหมวก และฮู๊ด ทำด้วยสักหลาด ไม่ได้อัดเป็นรูปทรงหรือไม่ได้ทำปีก รวมทั้งพลาโตและมังซอง (รวมถึงสลิตมังซอง) ทำด้วยสักหลาด	
6502	Hat-shapes, plaited or made by assembling strips of any material, neither blocked to shape, not with made brims, nor lined, nor trimmed.	ทรงหมวก ที่สานหรือทำโดยการประกอบแถบเข้าด้วยกันทำด้วยวัตถุในก็ตาม ไม่ได้อักเป็นรุปทรงหรือไม่ได้ทำปีก ไม่ได้บุภายในหรือไม่ได้ตกแต่ง	
6504	Hats and other headgear, plaited or made by assembling strips of any material, whether or not lined or trimmed.	หมวกและเครื่องสวมศีรษะอื่น ๆ ที่สานหรือทำโดยการประกอบแถบเข้าด้วยกัน ทำด้วยวัตถุใดก็ตาม ระบุภายในหรือตกแต่งหรือไม่ก็ตาม	
6505	Hats and other headgear, knitted or crocheted, or made up from lace, felt or other textile fabric, in the piece (but not in strips), whether or not lined or trimmed; hair-nets of any material, wherther or not lined or trimmed.	หมวกและเครื่องสวมศีรษะอื่น ๆ ที่ถักแบบนิตหรือแบบโครเซต์ หรือทำจากผืนผ้าลูกไม้ ผืนสักหลาดหรือผ้าสิ่งทออื่น ๆ ที่เป็นผืน (แต่ไม่เป็นแถบ) จะบุภายในหรือไม่ก็ตาม รวมทั้งร่างแหคลุมผม ทำด้วยวัตถุใดก็ตามจะบุภายในหรือตกแต่งหรือไม่ก็ตาม	
6506	Other headgear, whether or not lined or trimmed.	เครื่องสวมศีรษะอื่น ๆ ระบุภายในหรือตกแต่งหรือไม่ก็ตาม	
6507	Head-bands, linings, covers, hat foundations, hat frames, peaks and chinstraps, for headgear.	แถบรองขอบใน ซับใน สิ่งหุ่ม พื้นทรงหมวก โครงหมวก กระบังหน้า และแถบรัดคาง สำหรับเครื่องสวมศีรษะ	
 CHAPTER 66	Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof.	ร่ม ร่มปักกันแดด ไม้เท้า ไม้เท้าที่เป็นที่นั่ง แส้ (วิป) แส้ขี้ม้าและส่วนประกอบของของดังกล่าว	
6601	Umbre and sun unbrellas (including walking-stick umbrellas, garden umbrellas and similar umbrellas).	ร่ม และร่มปักกันแดด (รวมถึงร่มที่เป็นไม้เท้า ร่มปักในสวนและร่มที่คล้ายกัน)	
6602	Walking -sticks, seat-sticks, whips, riding-crops and the like.	ไม้เท้า ไม้เท้าที่เป็นที่นั่ง แส้ (วิป) แส้ขี่ม้าของที่คล้ายกัน	
6603	Parts, trimmings and accessories of articles of heading 66.01 or 66.02.	ส่วนประกอบ สิ่งที่ใช้ตกแต่ง และอุปกรณ์ประกอบของของตามประเภทที่ 66.01 หรือ 66.02	
 CHAPTER 67	Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair.	ขนแข็งและขนอ่อนของสัตว์ปีกที่จัดเตรียมแล้ว และของทำด้วยขนดังกล่าว ดอกไม้เทียม ของทำด้วยผมคน	
6701	Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading 05.05 and worked quills and scapes).	หนังและส่วนอื่นของสัตว์ปีกที่มีขนแข็งหรือขนอ่อนติด ขนแข็งส่วนของขนแข็ง ขนอ่อน และของทำด้วยของดังกล่าว (นอกจากของตามประเภทที่ 05.05 และก้านขนนกที่จัดทำแล้ว)	
6702	Artificial folwers, foliage and fruit and parts thereof; articles made of artificial flowers, foliage or fruit.	ดอกไม้เทียม ใบไม้เทียม ผลไม้เทียม ส่วนประกอบของของดังกล่าว รวมทั้งของทำด้วยดอกไม้เทียม ใบไม้เทียมหรือผลไม้เทียม	
6703	Human hair, dressed, thinned, bleached or otherwise worked; wool or other animal hair or other textile materials, prepared for use in making wigs or the like.	ผมคนที่ตกแต่ง สาง ฟอก หรือจัดทำอย่างอื่น รวมทั้งขนแกะ ขนสัตว์ อื่น ๆ หรือวัตถุทออื่น ๆ ที่จัดเตรียมเพื่อใช้ทำผมปลอมหรือของที่คล้ายกัน	
6704	Wigs, false beards, eyebrows and eyelashes , switches and the like, of human or namial hair or of textile materials; articles of human hair not animal not elsewhere specified or included.	ผมปลอม เคราปลอม ขนคิ้วปลอมและขนตาปลอม แผงผมและของที่คล้ายกัน ทำด้วยผมคนที่ไม่ได้ระบุหรือรวมไว้ในที่อื่น	
SECTION 13	ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS; CERAMIC PRODUCTS; GLASS AND GLASSWARE	ของทำด้วยหิน ปลาสเตอร์ ซีเมนต์ แอสเบสทอส ไมกา หรือวัตถุที่คล้ายกัน ผลิตภัณฑ์เซรามิก รวมทั้งแก้ว และเครื่องแก้ว	
 CHAPTER 68	Articles of stone, plaster, cement, asbestos, mica or similar materials.	ของทำด้วยหิน ปลาสเตอร์ ซีเมนต์ แอสเบสทอส ไมกาหรือวัตถุที่คล้ายกัน	
6801	Setts, curbstones and flagstones, of natural stone (except slate).	หินปูถนน หินขอบถนนและหินปูพื้น ทำด้วยหินธรรมชาติ (ยกเว้นหินชนวน)	
6802	Worked monumental or building stone (except slate) and articles thereof, other than goods of heading 68.01; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially coloured granules, chippings and powders, of natural stone (including slate).	หินที่ใช้ทำอนุสาวรีย์หรือหินก่อสร้าง ที่จัดทำแล้ว (ยกเว้นหินชนวน) และของทำด้วยหนิดังกล่าว นอกจาก	
6803	Worked slate and articles of slate or of agglomerated slate.	หินชนวนที่จัดทำแล้ว และของทำด้วยหินนชนวนหรือทำด้วยหินชนวนอัด	
6804	Millstones, grindstones, grinding wheels and the like, without frameworks, for grinding, sharpening, polishing, trueing or cutting, hand sharpening or polishing stones, and parts thereof, of natural stone, of agglomerated natural or artificial abrasives, or of ceramics, with or without parts of other materials..	หินโม่ หินบด จานเจียระไนและของที่คล้ายกัน ไม่มีโครง ใช้สำหรับ บท ลับ ขัด แต่งให้ได้ขนาดหรือตัด หินลัดหรือหินขัดที่ใช้ด้วยมือ และส่วนประกอบของของดังกล่าวทำด้วยหินธรรมชาติ วัตถุขัดถูธรรมชาติอัด หรือวัตถุขัดถูเทียมอัด หรือทำด้วยเซรามิก มีหรือไม่มี ส่วนประกอบที่ทำด้วยวัตถุอื่น	
6805	Natural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to shape or sewn or otherwise made up.	ผงขัดถูหรือเม็ดขัดถู ธรรมชาติหรือเทียม ติดบนแผ่นรองรับที่ทำด้วยวัตถุทอ กระดาษ กระดาษแข็งหรือวัตถุอื่น ๆ จะตัดให้เป็นรูปทรง เย็บหรือจัดทำอย่าอื่นหรือไม่ก็ตาม	
6806	Slag wool, rock wool and similar minersl wools; exfoliated vermiculite, expanded clays, foamed slag and similar expanded mineral materials; mixtures and articles of heat-insulatind, sound-insulating or sound-absorbing mineral materials, other than those of heading 68.11 or 68.12 or of Chapter 69.	ใยขี้แร่ ใยหินและใยแร่ที่คล้ายกัน รวมทั้งเอกซ์โฟลีเอตเต็ดเวอร์มีคิวไลต์เอกซ์แปนเต็ดเคลย์ โฟมสแลกและวัตถุจำพวกแร่ชนิดเอกซ์แปนเต็ดที่คล้ายกัน ของผสมและของที่ทำด้วยวัตถุจำพวกแร่ซึ่งเป็นฉนวนกันความร้อน ฉนวนกันเสียงหรือเป็นตัวดูดกลืนเสียง นอกจากของตามประเภทที่ 68.11 หรือ 68.12 หรือในตอนที่ 69	
6807	Articles of asphalt or of similar material (for example, petroleum bitumen or coal tar pitch).	ของทำด้วยแอสฟัลด์หรือทำด้วยวัตถุที่คล้ายกัน ( เช่น ปิโตรเลียมบิทูเมนหรือโคลทาร์พิตช์ )	
6808	Panels, boards, tiles, blocks and similar articles of vegetable fibre, of straw or of shavings, chips, particles, sawdust or other waste, of wood, agglomerated with cement, plaster or other mineral binders.	แผง แผ่น กระเบื้อง กัอนเหลี่ยมและของที่คล้ายกัน ที่ทำด้วยเส้นใยพืช ฟาง หรือทำด้วยขี้กบ ชิ้นไม้ สะเก็ดไม้ ขี้เลื่อยหรือเศษไม้อื่น ๆ เกาะ หรือติดรวมกัน ด้วยซีเมนต์ ปลาสเตอร์หรือสารยึดจำพวกแร่อื่น ๆ	
6809	Articles of plaster or of compositions based on plaster.
- Boards, sheets, panels, tiles and similar articles, not ornamented :	ของทำด้วยปลาเตอร์หรือที่มีส่วนผสมของปลาสเตอร์เป็นหลัก
- แผ่น แผ่นบาง แผง กระเบื้องและของที่คล้ายกัน ที่ไม่ได้ตกแต่ง	
6810	Articles of cement, of concrete or of artificial stone, whether or not reinforced.
- Tiles, flagstones, bricks and similar articles :	ของทำด้วยซีเมนต์ คอนกรีต หรือทำด้วยหินเทียม จะเสริมให้แข็งแรงหรือไม่ก็ตาม
- กระเบื้อง หินปูพั้น อิฐ และของที่คล้ายกัน	
6811	Articles of asbestos-cement, of cellulose fibre-cement or the like.	ของทำด้วยแอสเบสทอสซีเมนต์ เซลลูโลสไฟเบอร์ ซีเมนต์หรือทำด้วยของที่คล้ายกัน	
6812	Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of as bestors and magnesium carbonate; articles of such mixtures or of asbestos (for example, thread, woven fabric, clothing , headgear, footwear, gaskets), whether or not reinforced, other than goods of heading 68.11 or 68.13.	เส้นใยแอสเบสทอสที่จัดทำแล้ว ของผสมที่มีแอสเบสทอสเป็นหลัก หรือมีแอสเบสทอสกับแมกนีเซียมคาร์บอเนตเป็นหลัก รวมทั้งบของทำด้วยของผสมดังกล่าวหรือทำด้วยแอสเบสทอส (เช่น ด้าย ผ้าทอ เสื้อผ้า เครื่องสวมศีรษะ รองเท้า ปะเก็น) จะเสริมให้แข็งแรงหรือไม่ก็ตาม นอกจากของตามประเภทที่ 68.11 หรือ 68.13	
6813	Friction material and articles thereof (for example, sheets, rolls, strips, segments, discs, washers, pads), not mounted, for brakes, for clutches or the like, with a basis of asbestos, of other mineral substances or of cellulose, whether or not combined with textile or other materials.	วัตถุเสียดทานและของทำด้วยวัตถุดังกล่าว (เช่น แผ่นบาง ม้วน แถบ เซกเมนต์ จาน แหวนรอง แพ็ด) ยังไม่ได้ติดตั้ง สำหรับใช้กับเบรก คลัช หรือของที่คล้ายกันที่มีแอสเบสทอส มีสารจำพวกแร่อื่น ๆ หรือมีเซลลูโลสเป็นหลัก จะมีสิ่งทอหรือวัตถุอื่นรวมอยู่ด้วยหรือไม่ก็ตาม	
6814	Worked mica and articles of mica, including agglomerated or reconstiuted mica, whether or not on a surpport of papper, perboard or other materials.	ไมกาที่จัดทำแล้ว และของทำด้วยไมกา รวมถึงไมกาที่ เกาะหรือติดรวมกันหรือที่ทำขึ้นใหม่ จะมีสิ่งรองรับที่เป็นกระดาษ กระดาษแข็งหรือวัตถุอื่นหรือไม่ก็ตาม	
6815	Articles of stone or of other mineral substances (including carbon fibres, artices of carbon fibres and articles of peat), not elsewhere specified or included.	ของทำด้วยหินหรือสารจำพวกแร่อื่น ๆ (รวมถึงใยคาร์บอน ของทำด้วย ใยคาร์บอน และของทำด้วยถ่านพิต) ที่ไม่ได้ระบุหรือรวมไว้ในที่อื่น	
 CHAPTER 69	Ceramic products.	ผลิตภัณฑ์เซรามิก	
6901	Bricks, blocds, tiles and other ceramic goods of siliceous fossil meals (for example, kieselguhr, tripolite or diatomite) or of similar siliceous earths.	อิฐ บล็อก กระเบื้อง และผลิตภัณฑ์เซรามิกอื่น ๆ ทำด้วยดินซากหอย (เช่น ดีเซลกูหร์ ทริโพไลต์ หรือไดอะทอไมด์ ) หรือทำด้วยดินทรายที่คล้ายกัน	
6902	Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods, other than those of siliceous fossil meals or similar siliceous earths.	อิฐ บล็อก กระเบื้อง ชนิดทนไฟ และผลิตภัณฑ์เซรามิกทนไฟที่คล้ายกัน สำหรับใช้ในการก่อสร้าง นอกจากของทำด้วยดินซากหอยหรือดินทรายที่คล้ายกัน	
6903	Other refractory ceramic goods (for example, retorts, crucibles, muffles, nozzles, plugs, supports, cupels, tubes, pipes, sheaths and rods), other than those of siliceous fossil meals or of similar siliceous earths.	ผลิตภัณฑ์เซรามิกทนไฟอื่น ๆ (เช่น รีทอร์ด เบ้า เตาอบ หัวฉีด ปลั๊ก ฐานรอง เบ้าหลอมโลหะมีค่า หลอดหรือท่อ ปลอกและเส้น) นอกจากของทำด้วยดิน ซากหอยหรือดินทรายที่คล้ายกัน	
6904	Ceramic buiding bricks, flooring blocks, support or filler tiles and the like.	อิฐก่อสร้าง บล็อกปูพื้น กระเบื้องที่ใช้รองหรือใช้เสริมที่เป็นเซรามิก และของที่คล้ายกัน	
